"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.5898688120057,-16.4487507286075,223453.161886,8179654.617145,10,"1.24.1.165",1,24,"1","165",1,"11","1.24.1.11"
-71.5898827152845,-16.4487974426571,223451.742678,8179649.426188,10,"1.24.1.166",1,24,"1","166",1,"11","1.24.1.11"
-71.5899065790706,-16.4488737612217,223449.301255,8179640.943945,10,"1.24.1.167",1,24,"1","167",1,"11","1.24.1.11"
-71.5899643833678,-16.4489676715194,223443.258522,8179630.467591,10,"1.24.1.168",1,24,"1","168",1,"11","1.24.1.11"
-71.5900285767955,-16.4489279203638,223436.343617,8179634.780778,10,"1.24.1.169",1,24,"1","169",1,"11","1.24.1.11"
-71.5901114475078,-16.4489072102757,223427.460201,8179636.960276,10,"1.24.1.170",1,24,"1","170",1,"11","1.24.1.11"
-71.5901596071079,-16.4488920318013,223422.293222,8179638.574846,10,"1.24.1.171",1,24,"1","171",1,"11","1.24.1.11"
-71.5902241080758,-16.4488652933841,223415.363907,8179641.446905,10,"1.24.1.172",1,24,"1","172",1,"11","1.24.1.11"
-71.590259961372,-16.4488435450067,223411.502434,8179643.8057,10,"1.24.1.173",1,24,"1","173",1,"11","1.24.1.11"
-71.590291273869,-16.4488346388287,223408.144322,8179644.748888,10,"1.24.1.174",1,24,"1","174",1,"11","1.24.1.11"
-71.5903267634628,-16.4488284969388,223404.343841,8179645.380312,10,"1.24.1.174A",1,24,"1","174A",1,"11","1.24.1.11"
-71.5903470965116,-16.4488066674862,223402.140461,8179647.769324,10,"1.24.1.175",1,24,"1","175",1,"11","1.24.1.11"
-71.5903774996505,-16.448793306539,223398.873186,8179649.206965,10,"1.24.1.175A",1,24,"1","175A",1,"11","1.24.1.11"
-71.5904061798981,-16.448786151469,223395.79879,8179649.959881,10,"1.24.1.176",1,24,"1","176",1,"11","1.24.1.11"
-71.5904764686472,-16.4487738523693,223388.27157,8179651.225365,10,"1.24.1.177",1,24,"1","177",1,"11","1.24.1.11"
-71.5905276287248,-16.4487484267502,223382.769472,8179653.970329,10,"1.24.1.178",1,24,"1","178",1,"11","1.24.1.11"
-71.5906144787796,-16.4487190471401,223373.448582,8179657.104204,10,"1.24.1.179",1,24,"1","179",1,"11","1.24.1.11"
-71.5905701044659,-16.448642205028,223378.08062,8179665.672498,10,"1.24.1.180",1,24,"1","180",1,"11","1.24.1.11"
-71.5905425713496,-16.4485855728138,223380.941982,8179671.980206,10,"1.24.1.181",1,24,"1","181",1,"11","1.24.1.11"
-71.5904816327474,-16.4485044995303,223387.337786,8179681.039623,10,"1.24.1.182",1,24,"1","182",1,"11","1.24.1.11"
